stemmested,year,avg education
Odder,2007,13.011877632760168
Odder,2011,13.097612695806827
Odder,2015,13.23575164730657
Odder,2019,13.375531555855552
Odder,2022,13.533424694164049
Odense,2007,12.993765932792584
Odense,2011,13.10892472955365
Odense,2015,13.34828744222276
Odense,2019,13.64204590042305
Odense,2022,13.791914559868857
Odsherred,2007,12.43475666357247
Odsherred,2011,12.498986760335045
Odsherred,2015,12.58868676686217
Odsherred,2019,12.712692234668692
Odsherred,2022,12.808203238630854
Randers,2007,12.619236367014523
Randers,2011,12.703581083133372
Randers,2015,12.863681464888675
Randers,2019,13.035632288768264
Randers,2022,13.164182340101068
Rebild,2007,12.809606782482055
Rebild,2011,12.92692188468692
Rebild,2015,13.144758735440933
Rebild,2019,13.397674299472364
Rebild,2022,13.578162080282757
Region Hovedstaden,2007,13.38377253504459
Region Hovedstaden,2011,13.532209345360213
Region Hovedstaden,2015,13.81388099553652
Region Hovedstaden,2019,14.08658717790744
Region Hovedstaden,2022,14.234324544219406
Region Midtjylland,2007,12.886619851941951
Region Midtjylland,2011,13.001556892609162
Region Midtjylland,2015,13.202336870663999
Region Midtjylland,2019,13.419640376739643
Region Midtjylland,2022,13.553766955294792
Region Nordjylland,2007,12.653116349108165
Region Nordjylland,2011,12.768834539063901
Region Nordjylland,2015,12.965115340064553
Region Nordjylland,2019,13.167541480434478
Region Nordjylland,2022,13.304301990888161
Region Sjælland,2007,12.699920372095674
Region Sjælland,2011,12.766637137953268
Region Sjælland,2015,12.900546538143919
Region Sjælland,2019,13.05502643684812
Region Sjælland,2022,13.189410356964741
Region Syddanmark,2007,12.699617430882308
Region Syddanmark,2011,12.792295107299926
Region Syddanmark,2015,12.968615649183148
Region Syddanmark,2019,13.166928914760751
Region Syddanmark,2022,13.301791893197574
Ringkøbing-Skjern,2007,12.436274885634695
Ringkøbing-Skjern,2011,12.547957463364025
Ringkøbing-Skjern,2015,12.711877566059584
Ringkøbing-Skjern,2019,12.854941252213102
Ringkøbing-Skjern,2022,12.954150251324549
Ringsted,2007,12.678716950380297
Ringsted,2011,12.733007140967997
Ringsted,2015,12.905643437366395
Ringsted,2019,13.052986837664529
Ringsted,2022,13.2177429261701
Roskilde,2007,13.339401279872735
Roskilde,2011,13.410414383198388
Roskilde,2015,13.583601230896182
Roskilde,2019,13.772230339492909
Roskilde,2022,13.891281503844679
Rudersdal,2007,14.294370930476791
Rudersdal,2011,14.358424163226516
Rudersdal,2015,14.532014847465492
