stemmested,year,ratio
Ringkøbing-Skjern,2011,56.66764538247638
Ringkøbing-Skjern,2015,44.03264791396644
Ringkøbing-Skjern,2019,36.85846490763308
Ringkøbing-Skjern,2022,39.07539900935608
Skive,2007,67.47869964430474
Skive,2011,71.10905768948065
Skive,2015,55.364363761507356
Skive,2019,55.722498040240396
Skive,2022,55.635343246647075
Struer,2007,49.179604798870855
Struer,2011,51.98859780100448
Struer,2015,48.87850467289719
Struer,2019,59.817264680689064
Struer,2022,47.71038120354831
Viborg,2007,67.10177663872116
Viborg,2011,63.44755528072158
Viborg,2015,53.1710375091422
Viborg,2019,51.03827613200939
Viborg,2022,104.81168332052268
Region Nordjylland,2007,76.0487804035319
Region Nordjylland,2011,84.75373647450512
Region Nordjylland,2015,64.68940945568438
Region Nordjylland,2019,57.33346879338955
Region Nordjylland,2022,53.6891204773711
Brønderslev,2007,68.62772695285011
Brønderslev,2011,68.61894229961645
Brønderslev,2015,44.82796954032572
Brønderslev,2019,44.08856169651687
Brønderslev,2022,42.50075307391078
Frederikshavn,2007,78.54854902710714
Frederikshavn,2011,88.19740039467032
Frederikshavn,2015,61.74456584815877
Frederikshavn,2019,59.88855608172554
Frederikshavn,2022,51.46036161335188
Hjørring,2007,77.23365265714158
Hjørring,2011,75.04829168175782
Hjørring,2015,64.79597301060298
Hjørring,2019,50.70422535211268
Hjørring,2022,51.17513859608027
Jammerbugt,2007,59.32181636162949
Jammerbugt,2011,70.20313106482081
Jammerbugt,2015,52.16758120302707
Jammerbugt,2019,45.890642468994564
Jammerbugt,2022,38.207104906761124
Læsø,2007,17.47378931602596
Læsø,2011,36.515388628064684
Læsø,2015,33.02146395156852
Læsø,2019,31.163049526989425
Læsø,2022,23.516237402015676
Mariagerfjord,2007,64.19481097803923
Mariagerfjord,2011,80.69557043825637
Mariagerfjord,2015,60.53694464243288
Mariagerfjord,2019,51.162456946039036
Mariagerfjord,2022,46.67366612579937
Morsø,2007,61.970938391200036
Morsø,2011,58.21167032044405
Morsø,2015,48.14258730081852
Morsø,2019,49.009436292673286
Morsø,2022,43.45220257716512
Rebild,2007,45.97781101102494
Rebild,2011,56.74200013822655
Rebild,2015,45.58600743699215
Rebild,2019,38.252091911276395
Rebild,2022,33.87472499029378
Thisted,2007,61.999165733605565
Thisted,2011,61.03401421156973
Thisted,2015,46.458162614950375
Thisted,2019,46.434494195688224
Thisted,2022,48.47227026403782
Vesthimmerlands,2007,69.57180552289887
Vesthimmerlands,2011,73.90760884019042
Vesthimmerlands,2015,66.20600996304033
Vesthimmerlands,2019,49.53291331740169
Vesthimmerlands,2022,45.32850122175548
Aalborg,2007,93.29472956007072
Aalborg,2011,108.07691350961419
Aalborg,2015,80.12174733141853
Aalborg,2019,71.17922833905924
Aalborg,2022,67.12726913349535
