parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,Odsherred,2007,21884
GYLDIGE STEMMER I ALT,Odsherred,2011,22149
GYLDIGE STEMMER I ALT,Odsherred,2015,21895
GYLDIGE STEMMER I ALT,Odsherred,2019,21505
GYLDIGE STEMMER I ALT,Odsherred,2022,21404
GYLDIGE STEMMER I ALT,Ringsted,2007,20026
GYLDIGE STEMMER I ALT,Ringsted,2011,20797
GYLDIGE STEMMER I ALT,Ringsted,2015,20846
GYLDIGE STEMMER I ALT,Ringsted,2019,20939
GYLDIGE STEMMER I ALT,Ringsted,2022,20780
GYLDIGE STEMMER I ALT,Slagelse,2007,48542
GYLDIGE STEMMER I ALT,Slagelse,2011,49297
GYLDIGE STEMMER I ALT,Slagelse,2015,48187
GYLDIGE STEMMER I ALT,Slagelse,2019,48118
GYLDIGE STEMMER I ALT,Slagelse,2022,47151
GYLDIGE STEMMER I ALT,Sorø,2007,18701
GYLDIGE STEMMER I ALT,Sorø,2011,19111
GYLDIGE STEMMER I ALT,Sorø,2015,18844
GYLDIGE STEMMER I ALT,Sorø,2019,18653
GYLDIGE STEMMER I ALT,Sorø,2022,18750
GYLDIGE STEMMER I ALT,Stevns,2007,14577
GYLDIGE STEMMER I ALT,Stevns,2011,14712
GYLDIGE STEMMER I ALT,Stevns,2015,14614
GYLDIGE STEMMER I ALT,Stevns,2019,14625
GYLDIGE STEMMER I ALT,Stevns,2022,15101
GYLDIGE STEMMER I ALT,Vordingborg,2007,30860
GYLDIGE STEMMER I ALT,Vordingborg,2011,30751
GYLDIGE STEMMER I ALT,Vordingborg,2015,30091
GYLDIGE STEMMER I ALT,Vordingborg,2019,29292
GYLDIGE STEMMER I ALT,Vordingborg,2022,28712
GYLDIGE STEMMER I ALT,Assens,2007,26743
GYLDIGE STEMMER I ALT,Assens,2011,27100
GYLDIGE STEMMER I ALT,Assens,2015,26580
GYLDIGE STEMMER I ALT,Assens,2019,25960
GYLDIGE STEMMER I ALT,Assens,2022,25427
GYLDIGE STEMMER I ALT,Faaborg-Midtfyn,2007,33754
GYLDIGE STEMMER I ALT,Faaborg-Midtfyn,2011,33892
GYLDIGE STEMMER I ALT,Faaborg-Midtfyn,2015,33094
GYLDIGE STEMMER I ALT,Faaborg-Midtfyn,2019,32625
GYLDIGE STEMMER I ALT,Faaborg-Midtfyn,2022,32615
GYLDIGE STEMMER I ALT,Kerteminde,2007,15489
GYLDIGE STEMMER I ALT,Kerteminde,2011,15855
GYLDIGE STEMMER I ALT,Kerteminde,2015,15567
GYLDIGE STEMMER I ALT,Kerteminde,2019,15267
GYLDIGE STEMMER I ALT,Kerteminde,2022,15278
GYLDIGE STEMMER I ALT,Langeland,2007,9240
GYLDIGE STEMMER I ALT,Langeland,2011,9057
GYLDIGE STEMMER I ALT,Langeland,2015,8561
GYLDIGE STEMMER I ALT,Langeland,2019,8207
GYLDIGE STEMMER I ALT,Langeland,2022,8052
GYLDIGE STEMMER I ALT,Middelfart,2007,23941
GYLDIGE STEMMER I ALT,Middelfart,2011,24841
GYLDIGE STEMMER I ALT,Middelfart,2015,24678
GYLDIGE STEMMER I ALT,Middelfart,2019,24860
GYLDIGE STEMMER I ALT,Middelfart,2022,25579
GYLDIGE STEMMER I ALT,Nordfyns,2007,18942
GYLDIGE STEMMER I ALT,Nordfyns,2011,19107
GYLDIGE STEMMER I ALT,Nordfyns,2015,18842
GYLDIGE STEMMER I ALT,Nordfyns,2019,18602
GYLDIGE STEMMER I ALT,Nordfyns,2022,18363
GYLDIGE STEMMER I ALT,Nyborg,2007,20429
GYLDIGE STEMMER I ALT,Nyborg,2011,20804
GYLDIGE STEMMER I ALT,Nyborg,2015,20521
GYLDIGE STEMMER I ALT,Nyborg,2019,20279
GYLDIGE STEMMER I ALT,Nyborg,2022,20220
GYLDIGE STEMMER I ALT,Odense,2007,118155
GYLDIGE STEMMER I ALT,Odense,2011,121383
GYLDIGE STEMMER I ALT,Odense,2015,122257
GYLDIGE STEMMER I ALT,Odense,2019,125216
GYLDIGE STEMMER I ALT,Odense,2022,124048
GYLDIGE STEMMER I ALT,Svendborg,2007,38362
GYLDIGE STEMMER I ALT,Svendborg,2011,39006
GYLDIGE STEMMER I ALT,Svendborg,2015,37736
GYLDIGE STEMMER I ALT,Svendborg,2019,37506
GYLDIGE STEMMER I ALT,Svendborg,2022,37897
GYLDIGE STEMMER I ALT,Ærø,2007,4602
GYLDIGE STEMMER I ALT,Ærø,2011,4615
GYLDIGE STEMMER I ALT,Ærø,2015,4267
GYLDIGE STEMMER I ALT,Ærø,2019,4020
GYLDIGE STEMMER I ALT,Ærø,2022,3936
GYLDIGE STEMMER I ALT,Billund,2007,16238
GYLDIGE STEMMER I ALT,Billund,2011,16597
GYLDIGE STEMMER I ALT,Billund,2015,16375
GYLDIGE STEMMER I ALT,Billund,2019,15619
GYLDIGE STEMMER I ALT,Billund,2022,15402
GYLDIGE STEMMER I ALT,Esbjerg,2007,71360
GYLDIGE STEMMER I ALT,Esbjerg,2011,72874
GYLDIGE STEMMER I ALT,Esbjerg,2015,71253
GYLDIGE STEMMER I ALT,Esbjerg,2019,69682
GYLDIGE STEMMER I ALT,Esbjerg,2022,68642
GYLDIGE STEMMER I ALT,Fanø,2007,2213
GYLDIGE STEMMER I ALT,Fanø,2011,2237
GYLDIGE STEMMER I ALT,Fanø,2015,2244
GYLDIGE STEMMER I ALT,Fanø,2019,2311
GYLDIGE STEMMER I ALT,Fanø,2022,2356
GYLDIGE STEMMER I ALT,Fredericia,2007,30951
GYLDIGE STEMMER I ALT,Fredericia,2011,32053
GYLDIGE STEMMER I ALT,Fredericia,2015,31232
GYLDIGE STEMMER I ALT,Fredericia,2019,30790
GYLDIGE STEMMER I ALT,Fredericia,2022,30710
GYLDIGE STEMMER I ALT,Haderslev,2007,35756
GYLDIGE STEMMER I ALT,Haderslev,2011,35826
