parti,stemmested,year,stemmer
A. Socialdemokratiet,Assens,2019,31.402157164869028
A. Socialdemokratiet,Assens,2022,34.45943288630196
A. Socialdemokratiet,Faaborg-Midtfyn,2007,24.758547135154352
A. Socialdemokratiet,Faaborg-Midtfyn,2011,26.894252330933554
A. Socialdemokratiet,Faaborg-Midtfyn,2015,27.255695896537137
A. Socialdemokratiet,Faaborg-Midtfyn,2019,29.63065134099617
A. Socialdemokratiet,Faaborg-Midtfyn,2022,33.86478614134601
A. Socialdemokratiet,Kerteminde,2007,28.38788817870747
A. Socialdemokratiet,Kerteminde,2011,31.54840744244718
A. Socialdemokratiet,Kerteminde,2015,33.2947902614505
A. Socialdemokratiet,Kerteminde,2019,35.514508416846795
A. Socialdemokratiet,Kerteminde,2022,37.42636470742244
A. Socialdemokratiet,Langeland,2007,24.87012987012987
A. Socialdemokratiet,Langeland,2011,28.342718339405984
A. Socialdemokratiet,Langeland,2015,26.235252891017403
A. Socialdemokratiet,Langeland,2019,33.98318508590228
A. Socialdemokratiet,Langeland,2022,36.09041231992052
A. Socialdemokratiet,Middelfart,2007,26.573660248109938
A. Socialdemokratiet,Middelfart,2011,26.657541966909545
A. Socialdemokratiet,Middelfart,2015,29.418915633357646
A. Socialdemokratiet,Middelfart,2019,31.025744167337088
A. Socialdemokratiet,Middelfart,2022,31.459400289299815
A. Socialdemokratiet,Nordfyns,2007,25.615035371132933
A. Socialdemokratiet,Nordfyns,2011,27.052912545140526
A. Socialdemokratiet,Nordfyns,2015,28.999044687400488
A. Socialdemokratiet,Nordfyns,2019,31.889044188796902
A. Socialdemokratiet,Nordfyns,2022,34.128410390459074
A. Socialdemokratiet,Nyborg,2007,28.337167751725488
A. Socialdemokratiet,Nyborg,2011,30.696019996154586
A. Socialdemokratiet,Nyborg,2015,33.46815457336387
A. Socialdemokratiet,Nyborg,2019,34.34094383352236
A. Socialdemokratiet,Nyborg,2022,35.054401582591495
A. Socialdemokratiet,Odense,2007,28.06229105835555
A. Socialdemokratiet,Odense,2011,29.06502558018833
A. Socialdemokratiet,Odense,2015,28.983207505500708
A. Socialdemokratiet,Odense,2019,28.199271658573984
A. Socialdemokratiet,Odense,2022,29.83925577195924
A. Socialdemokratiet,Svendborg,2007,25.569574057661228
A. Socialdemokratiet,Svendborg,2011,26.872788801722812
A. Socialdemokratiet,Svendborg,2015,26.40449438202247
A. Socialdemokratiet,Svendborg,2019,30.28315469524876
A. Socialdemokratiet,Svendborg,2022,34.416972319708684
A. Socialdemokratiet,Ærø,2007,25.554106910039113
A. Socialdemokratiet,Ærø,2011,24.117009750812567
A. Socialdemokratiet,Ærø,2015,22.615420670260136
A. Socialdemokratiet,Ærø,2019,25.621890547263682
A. Socialdemokratiet,Ærø,2022,29.801829268292682
A. Socialdemokratiet,Billund,2007,18.555240793201133
A. Socialdemokratiet,Billund,2011,20.160269928300295
A. Socialdemokratiet,Billund,2015,19.370992366412214
A. Socialdemokratiet,Billund,2019,23.61226711057046
A. Socialdemokratiet,Billund,2022,25.717439293598233
A. Socialdemokratiet,Esbjerg,2007,27.529428251121075
A. Socialdemokratiet,Esbjerg,2011,26.879271070615033
A. Socialdemokratiet,Esbjerg,2015,25.822070649656858
A. Socialdemokratiet,Esbjerg,2019,28.878332998478804
A. Socialdemokratiet,Esbjerg,2022,30.991229859269836
A. Socialdemokratiet,Fanø,2007,23.271577044735654
A. Socialdemokratiet,Fanø,2011,20.786767992847565
A. Socialdemokratiet,Fanø,2015,27.094474153297682
A. Socialdemokratiet,Fanø,2019,24.881003894418
A. Socialdemokratiet,Fanø,2022,29.58404074702886
A. Socialdemokratiet,Fredericia,2007,26.603340764434105
A. Socialdemokratiet,Fredericia,2011,30.427729073721647
A. Socialdemokratiet,Fredericia,2015,28.032146516393443
A. Socialdemokratiet,Fredericia,2019,30.633322507307568
A. Socialdemokratiet,Fredericia,2022,33.59492022142624
A. Socialdemokratiet,Haderslev,2007,23.266025282470075
A. Socialdemokratiet,Haderslev,2011,24.15005861664713
A. Socialdemokratiet,Haderslev,2015,24.30710237685736
A. Socialdemokratiet,Haderslev,2019,27.38286851423722
A. Socialdemokratiet,Haderslev,2022,30.310183083673778
A. Socialdemokratiet,Kolding,2007,19.29317181418022
A. Socialdemokratiet,Kolding,2011,21.001257772502612
A. Socialdemokratiet,Kolding,2015,22.788638081866292
A. Socialdemokratiet,Kolding,2019,23.185066095033942
A. Socialdemokratiet,Kolding,2022,25.719162698769203
A. Socialdemokratiet,Sønderborg,2007,25.643527360292286
A. Socialdemokratiet,Sønderborg,2011,27.399019133216864
A. Socialdemokratiet,Sønderborg,2015,25.278041210449178
A. Socialdemokratiet,Sønderborg,2019,30.014706537724496
A. Socialdemokratiet,Sønderborg,2022,33.539284396901515
A. Socialdemokratiet,Tønder,2007,22.031085566259208
A. Socialdemokratiet,Tønder,2011,24.349138986370686
A. Socialdemokratiet,Tønder,2015,21.293322062552832
A. Socialdemokratiet,Tønder,2019,24.487672472291337
A. Socialdemokratiet,Tønder,2022,26.20718697361033
A. Socialdemokratiet,Varde,2007,18.347018012857234
A. Socialdemokratiet,Varde,2011,18.83793396493658
A. Socialdemokratiet,Varde,2015,18.72563005230623
A. Socialdemokratiet,Varde,2019,22.378793851005124
A. Socialdemokratiet,Varde,2022,24.200898054215866
A. Socialdemokratiet,Vejen,2007,21.5705042306367
A. Socialdemokratiet,Vejen,2011,22.911614371525577
A. Socialdemokratiet,Vejen,2015,22.369514313769923
A. Socialdemokratiet,Vejen,2019,26.20245205910091
A. Socialdemokratiet,Vejen,2022,25.185921654404453
A. Socialdemokratiet,Vejle,2007,20.785437692471874
A. Socialdemokratiet,Vejle,2011,22.177775163244895
A. Socialdemokratiet,Vejle,2015,23.043102311198393
A. Socialdemokratiet,Vejle,2019,23.518269494931968
A. Socialdemokratiet,Vejle,2022,25.472741190145438
A. Socialdemokratiet,Aabenraa,2007,22.8933733296973
A. Socialdemokratiet,Aabenraa,2011,24.871373836891078
A. Socialdemokratiet,Aabenraa,2015,21.93222420723537
A. Socialdemokratiet,Aabenraa,2019,25.797244954422343
A. Socialdemokratiet,Aabenraa,2022,28.847298262318496
A. Socialdemokratiet,Favrskov,2007,25.795686081641257
A. Socialdemokratiet,Favrskov,2011,26.61147644957773
A. Socialdemokratiet,Favrskov,2015,27.408498811237987
A. Socialdemokratiet,Favrskov,2019,28.119978575254418
A. Socialdemokratiet,Favrskov,2022,28.56293752476555
A. Socialdemokratiet,Hedensted,2007,20.003475238922675
A. Socialdemokratiet,Hedensted,2011,21.14200663013328
A. Socialdemokratiet,Hedensted,2015,21.704032832479733
A. Socialdemokratiet,Hedensted,2019,23.852546639539295
A. Socialdemokratiet,Hedensted,2022,25.432815434522794
A. Socialdemokratiet,Horsens,2007,27.270723545795178
A. Socialdemokratiet,Horsens,2011,26.204703161141094
A. Socialdemokratiet,Horsens,2015,26.633965011784092
A. Socialdemokratiet,Horsens,2019,27.803484718651813
A. Socialdemokratiet,Horsens,2022,30.79234015887351
A. Socialdemokratiet,Norddjurs,2007,29.393939393939394
A. Socialdemokratiet,Norddjurs,2011,31.79036431593215
A. Socialdemokratiet,Norddjurs,2015,29.456499276710066
A. Socialdemokratiet,Norddjurs,2019,32.70078087510361
A. Socialdemokratiet,Norddjurs,2022,34.84808454425363
A. Socialdemokratiet,Odder,2007,28.21153297173851
A. Socialdemokratiet,Odder,2011,27.3865850264403
A. Socialdemokratiet,Odder,2015,29.929651041303895
A. Socialdemokratiet,Odder,2019,27.009887487214456
A. Socialdemokratiet,Odder,2022,29.469782220162838
A. Socialdemokratiet,Randers,2007,32.77152929326842
A. Socialdemokratiet,Randers,2011,34.224990243267854
A. Socialdemokratiet,Randers,2015,31.42319252237672
A. Socialdemokratiet,Randers,2019,32.56738397544489
A. Socialdemokratiet,Randers,2022,34.33810182024081
A. Socialdemokratiet,Samsø,2007,24.972253052164262
A. Socialdemokratiet,Samsø,2011,23.03921568627451
A. Socialdemokratiet,Samsø,2015,28.016194331983804
A. Socialdemokratiet,Samsø,2019,26.136829168373616
A. Socialdemokratiet,Samsø,2022,25.19872813990461
A. Socialdemokratiet,Silkeborg,2007,25.77754726092322
A. Socialdemokratiet,Silkeborg,2011,24.463407428005354
A. Socialdemokratiet,Silkeborg,2015,25.59974857701575
A. Socialdemokratiet,Silkeborg,2019,24.94684018031811
A. Socialdemokratiet,Silkeborg,2022,25.79043552795433
A. Socialdemokratiet,Skanderborg,2007,25.879771582885596
A. Socialdemokratiet,Skanderborg,2011,25.454938171607537
A. Socialdemokratiet,Skanderborg,2015,27.344187161928108
A. Socialdemokratiet,Skanderborg,2019,25.830079371155858
A. Socialdemokratiet,Skanderborg,2022,26.764284656032398
A. Socialdemokratiet,Syddjurs,2007,25.3813462851939
A. Socialdemokratiet,Syddjurs,2011,26.487953353624995
A. Socialdemokratiet,Syddjurs,2015,25.234441602728047
A. Socialdemokratiet,Syddjurs,2019,27.203121548995068
A. Socialdemokratiet,Syddjurs,2022,28.583149033316687
A. Socialdemokratiet,Aarhus,2007,27.777461095593683
A. Socialdemokratiet,Aarhus,2011,26.255750311424116
A. Socialdemokratiet,Aarhus,2015,26.91135345403172
A. Socialdemokratiet,Aarhus,2019,22.48384603776346
A. Socialdemokratiet,Aarhus,2022,22.45748500851865
A. Socialdemokratiet,Herning,2007,19.364231982528512
A. Socialdemokratiet,Herning,2011,19.862788745757765
A. Socialdemokratiet,Herning,2015,20.700299554321617
A. Socialdemokratiet,Herning,2019,21.350710900473935
A. Socialdemokratiet,Herning,2022,22.521460413366245
A. Socialdemokratiet,Holstebro,2007,24.37195555798807
A. Socialdemokratiet,Holstebro,2011,24.229419703103915
A. Socialdemokratiet,Holstebro,2015,29.302692841778526
A. Socialdemokratiet,Holstebro,2019,27.77898866608544
